Year,NB.std,NB.res,KGU.std,KGU.res
1987,1.23344,1.04361,1.08212,0.9805
1988,1.65768,1.54027,1.30004,1.20236
1989,,,0.87993,0.7629
1990,,,0.67185,0.63902
1991,,,0.87137,0.97746
1992,,,1.01032,1.10268
1993,,,1.08146,1.1549
1994,,,1.02013,0.99316
1995,,,1.17,1.19222
1996,,,0.54154,0.48983
1997,,,1.10362,1.20192
1998,,,0.97955,1.03044
1999,,,0.98485,1.03906
2000,,,0.90952,0.89746
2001,,,0.98337,1.02647
2002,,,0,0.12928
2003,,,0.68887,1.02819
2004,,,0.74547,0.95017
2005,,,1.12446,1.32674
2006,,,0.82985,0.88435
2007,,,0.88297,0.96781
